as_of_date,method,positions,weight_sum,maximum_weight,minimum_positive_weight,maximum_sector_weight,concentration_hhi,effective_positions,one_way_turnover,two_way_turnover
2020-01-31,full_ensemble,25,1.0,0.05000000000000002,0.02624201195629767,0.24186765615337044,0.04140260721893375,24.15306830103907,,
2020-02-28,full_ensemble,25,0.9999999999999999,0.05000000000000002,0.02851351351351351,0.25000000000000006,0.0411445215485756,24.30457233095762,0.2449550385264671,0.4899100770529342
2020-03-31,full_ensemble,25,1.0000000000000002,0.05000000000000001,0.02728501228501229,0.2077886977886978,0.041375825087987254,24.16870232493158,0.3321007371007371,0.6642014742014742
2020-04-30,full_ensemble,25,1.0000000000000002,0.05000000000000001,0.02728501228501229,0.24480343980343983,0.041375825087987254,24.16870232493158,0.2513022113022113,0.5026044226044226
2020-05-29,full_ensemble,25,1.0,0.05000000000000002,0.028018018018018013,0.2500000000000001,0.04123782566350135,24.249581152991706,0.20219901719901723,0.40439803439803446
2020-06-30,full_ensemble,25,1.0,0.05000000000000002,0.026583242655059836,0.25000000000000006,0.041476420590105395,24.110084374989672,0.34517552372829857,0.6903510474565971
2020-07-31,full_ensemble,25,1.0,0.05000000000000001,0.02728501228501229,0.2404791154791155,0.04137582508798726,24.168702324931576,0.2728343399290081,0.5456686798580161
2020-08-31,full_ensemble,25,1.0,0.050000000000000024,0.027441441441441426,0.2500000000000001,0.041351271000730466,24.183053526512765,0.19464209664209672,0.38928419328419345
2020-09-30,full_ensemble,25,1.0,0.05,0.026679306608884068,0.25,0.041359387049859794,24.178308029431737,0.2990317023415615,0.598063404683123
2020-10-30,full_ensemble,25,1.0,0.05000000000000002,0.028314785373608906,0.25000000000000006,0.04122559976510693,24.256772629088424,0.24277772993183103,0.48555545986366205
2020-11-30,full_ensemble,25,0.9999999999999999,0.05000000000000001,0.028648648648648647,0.25,0.04112699050401754,24.31493254781951,0.1964546899841018,0.3929093799682036
2020-12-31,full_ensemble,25,1.0,0.05000000000000001,0.02728501228501229,0.2185995085995086,0.04137582508798726,24.168702324931576,0.28431203931203936,0.5686240786240787
2021-01-29,full_ensemble,25,1.0000000000000002,0.05000000000000001,0.02728501228501229,0.16644963144963146,0.04137582508798726,24.168702324931576,0.17726044226044227,0.35452088452088454
2021-02-26,full_ensemble,25,1.0,0.05000000000000001,0.02728501228501229,0.21535626535626537,0.04137582508798726,24.168702324931576,0.2774938574938576,0.5549877149877152
2021-03-31,full_ensemble,25,0.9999999999999999,0.04998755568716764,0.02728725906619007,0.22399607480633357,0.04137469755571143,24.16936096399231,0.2056405354064165,0.411281070812833
2021-04-30,full_ensemble,25,1.0,0.05000000000000001,0.02728501228501229,0.2229115479115479,0.04137582508798726,24.168702324931576,0.22185680186978993,0.44371360373957985
2021-05-28,full_ensemble,25,1.0,0.05000000000000001,0.02728501228501229,0.19131449631449632,0.041375825087987254,24.16870232493158,0.3088452088452089,0.6176904176904178
2021-06-30,full_ensemble,25,1.0,0.05,0.028378378378378376,0.25,0.04118718042366691,24.27939931099002,0.3613104013104014,0.7226208026208027
